,t,v
715,28.62862863,0.137137137
716,28.66866867,0.133133133
717,28.70870871,0.129129129
718,28.74874875,0.125125125
719,28.78878879,0.121121121
720,28.82882883,0.117117117
721,28.86886887,0.113113113
722,28.90890891,0.109109109
723,28.94894895,0.105105105
724,28.98898899,0.101101101
725,29.02902903,0.097097097
726,29.06906907,0.093093093
727,29.10910911,0.089089089
728,29.14914915,0.085085085
729,29.18918919,0.081081081
730,29.22922923,0.077077077
731,29.26926927,0.073073073
732,29.30930931,0.069069069
733,29.34934935,0.065065065
734,29.38938939,0.061061061
735,29.42942943,0.057057057
736,29.46946947,0.053053053
737,29.50950951,0.049049049
738,29.54954955,0.045045045
739,29.58958959,0.041041041
740,29.62962963,0.037037037
741,29.66966967,0.033033033
742,29.70970971,0.029029029
743,29.74974975,0.025025025
744,29.78978979,0.021021021
745,29.82982983,0.017017017
746,29.86986987,0.013013013
747,29.90990991,0.009009009
748,29.94994995,0.005005005
749,29.98998999,0.001001001
750,30.03003003,-0.003003003
751,30.07007007,-0.007007007
752,30.11011011,-0.011011011
753,30.15015015,-0.015015015
754,30.19019019,-0.019019019
755,30.23023023,-0.023023023
756,30.27027027,-0.027027027
757,30.31031031,-0.031031031
758,30.35035035,-0.035035035
759,30.39039039,-0.039039039
760,30.43043043,-0.043043043
761,30.47047047,-0.047047047
762,30.51051051,-0.051051051
763,30.55055055,-0.055055055
764,30.59059059,-0.059059059
765,30.63063063,-0.063063063
766,30.67067067,-0.067067067
767,30.71071071,-0.071071071
768,30.75075075,-0.075075075
769,30.79079079,-0.079079079
770,30.83083083,-0.083083083
771,30.87087087,-0.087087087
772,30.91091091,-0.091091091
773,30.95095095,-0.095095095
774,30.99099099,-0.099099099
775,31.03103103,-0.103103103
776,31.07107107,-0.107107107
777,31.11111111,-0.111111111
778,31.15115115,-0.115115115
779,31.19119119,-0.119119119
780,31.23123123,-0.123123123
781,31.27127127,-0.127127127
782,31.31131131,-0.131131131
783,31.35135135,-0.135135135
784,31.39139139,-0.139139139
785,31.43143143,-0.143143143
786,31.47147147,-0.147147147
787,31.51151151,-0.151151151
788,31.55155155,-0.155155155
789,31.59159159,-0.159159159
790,31.63163163,-0.163163163
791,31.67167167,-0.167167167
792,31.71171171,-0.171171171
793,31.75175175,-0.175175175
794,31.79179179,-0.179179179
795,31.83183183,-0.183183183
796,31.87187187,-0.187187187
797,31.91191191,-0.191191191
798,31.95195195,-0.195195195
799,31.99199199,-0.199199199
800,32.03203203,-0.203203203
801,32.07207207,-0.207207207
802,32.11211211,-0.211211211
803,32.15215215,-0.215215215
804,32.19219219,-0.219219219
805,32.23223223,-0.223223223
806,32.27227227,-0.227227227
807,32.31231231,-0.231231231
808,32.35235235,-0.235235235
809,32.39239239,-0.239239239
810,32.43243243,-0.243243243
811,32.47247247,-0.247247247
812,32.51251251,-0.251251251
813,32.55255255,-0.255255255
814,32.59259259,-0.259259259
815,32.63263263,-0.263263263
816,32.67267267,-0.267267267
817,32.71271271,-0.271271271
818,32.75275275,-0.275275275
819,32.79279279,-0.279279279
820,32.83283283,-0.283283283
821,32.87287287,-0.287287287
822,32.91291291,-0.291291291
823,32.95295295,-0.295295295
824,32.99299299,-0.299299299
825,33.03303303,-0.303303303
826,33.07307307,-0.307307307
827,33.11311311,-0.311311311
828,33.15315315,-0.315315315
829,33.19319319,-0.319319319
830,33.23323323,-0.323323323
831,33.27327327,-0.327327327
832,33.31331331,-0.331331331
833,33.35335335,-0.335335335
834,33.39339339,-0.339339339
835,33.43343343,-0.343343343
836,33.47347347,-0.347347347
837,33.51351351,-0.351351351
838,33.55355355,-0.355355355
839,33.59359359,-0.359359359
840,33.63363363,-0.363363363
841,33.67367367,-0.367367367
842,33.71371371,-0.371371371
843,33.75375375,-0.375375375
844,33.79379379,-0.379379379
845,33.83383383,-0.383383383
846,33.87387387,-0.387387387
847,33.91391391,-0.391391391
848,33.95395395,-0.395395395
849,33.99399399,-0.399399399
850,34.03403403,-0.403403403
851,34.07407407,-0.407407407
852,34.11411411,-0.411411411
853,34.15415415,-0.415415415
854,34.19419419,-0.419419419
855,34.23423423,-0.423423423
856,34.27427427,-0.427427427
857,34.31431431,-0.431431431
858,34.35435435,-0.435435435
859,34.39439439,-0.439439439
860,34.43443443,-0.443443443
861,34.47447447,-0.447447447
862,34.51451451,-0.451451451
863,34.55455455,-0.455455455
864,34.59459459,-0.459459459
865,34.63463463,-0.463463463
866,34.67467467,-0.467467467
867,34.71471471,-0.471471471
868,34.75475475,-0.475475475
